Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	IL-17 signaling pathway	9/94	4.679887e-13	6.505042e-11	0	0	6.011395e+01	1.706655e+03	NFKBIA;JUN;CEBPB;CXCL8;TNFAIP3;CXCL1;CXCL3;PTGS2;CXCL2
KEGG_2021_Human	TNF signaling pathway	9/112	2.349717e-12	1.633053e-10	0	0	4.956366e+01	1.327153e+03	NFKBIA;JUN;CEBPB;TNFAIP3;CXCL1;CXCL3;PTGS2;CXCL2;JUNB
KEGG_2021_Human	NF-kappa B signaling pathway	7/104	2.741057e-09	1.270023e-07	0	0	3.873307e+01	7.636195e+02	NFKBIA;CXCL8;TNFAIP3;CXCL1;CXCL3;PTGS2;CXCL2
KEGG_2021_Human	HIF-1 signaling pathway	7/109	3.813656e-09	1.325246e-07	0	0	3.682512e+01	7.138431e+02	LDHA;PFKFB3;SERPINE1;SLC2A1;EIF4EBP1;HK2;VEGFA
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	8/193	8.559760e-09	2.174415e-07	0	0	2.374895e+01	4.411651e+02	NFKBIA;JUN;CXCL8;CXCL1;CXCL3;PTGS2;CXCL2;VEGFA
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	6/70	9.385964e-09	2.174415e-07	0	0	4.907566e+01	9.071169e+02	NFKBIA;JUN;CXCL8;CXCL1;CXCL3;CXCL2
KEGG_2021_Human	Rheumatoid arthritis	6/93	5.255738e-08	1.043639e-06	0	0	3.605989e+01	6.044128e+02	JUN;CXCL8;CXCL1;CXCL3;CXCL2;VEGFA
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	6/100	8.125996e-08	1.411892e-06	0	0	3.336282e+01	5.446685e+02	EGR1;JUN;CXCL8;SERPINE1;PIM1;VEGFA
KEGG_2021_Human	NOD-like receptor signaling pathway	7/181	1.278538e-07	1.974631e-06	0	0	2.150885e+01	3.413967e+02	NFKBIA;JUN;CXCL8;TNFAIP3;CXCL1;CXCL3;CXCL2
KEGG_2021_Human	Legionellosis	5/57	1.567512e-07	2.178841e-06	0	0	4.907298e+01	7.689052e+02	NFKBIA;CXCL8;CXCL1;CXCL3;CXCL2
KEGG_2021_Human	Lipid and atherosclerosis	7/215	4.113176e-07	5.197559e-06	0	0	1.796206e+01	2.641123e+02	NFKBIA;JUN;CXCL8;DDIT3;CXCL1;CXCL3;CXCL2
KEGG_2021_Human	Transcriptional misregulation in cancer	5/192	6.202088e-05	6.428455e-04	0	0	1.355341e+01	1.313059e+02	CEBPB;CXCL8;ID2;DDIT3;NUPR1
KEGG_2021_Human	Chemokine signaling pathway	5/192	6.202088e-05	6.428455e-04	0	0	1.355341e+01	1.313059e+02	NFKBIA;CXCL8;CXCL1;CXCL3;CXCL2
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	4/100	6.849759e-05	6.428455e-04	0	0	2.068750e+01	1.983665e+02	CXCL8;CXCL1;CXCL3;CXCL2
KEGG_2021_Human	Amoebiasis	4/102	7.399660e-05	6.428455e-04	0	0	2.026327e+01	1.927339e+02	CXCL8;CXCL1;CXCL3;CXCL2
KEGG_2021_Human	Chagas disease	4/102	7.399660e-05	6.428455e-04	0	0	2.026327e+01	1.927339e+02	NFKBIA;JUN;CXCL8;SERPINE1
KEGG_2021_Human	Human cytomegalovirus infection	5/225	1.309266e-04	1.070518e-03	0	0	1.150117e+01	1.028305e+02	NFKBIA;CXCL8;EIF4EBP1;PTGS2;VEGFA
