Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,African trypanosomiasis,3/37,5.8273751787926495e-09,1.1654750357585296e-08,0,0,59889.0,1135537.3122680483,HBB;HBA2;HBA1
KEGG_2021_Human,Malaria,3/50,1.4699925077846428e-08,1.4699925077846428e-08,0,0,59850.0,1079420.092879203,HBB;HBA2;HBA1
