Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Lipid and atherosclerosis,12/215,8.674574069303975e-11,1.457328443643068e-08,0,0,16.413515576215918,380.26898207756784,NFKBIA;JUN;XBP1;CXCL8;HSPA5;DDIT3;CXCL1;FOS;CXCL3;HSPA1B;HSPA1A;ATF4
KEGG_2021_Human,NF-kappa B signaling pathway,9/104,4.66821065635469e-10,3.92129695133794e-08,0,0,25.37667140825036,545.2196907095702,NFKBIA;CXCL8;BCL2A1;GADD45B;GADD45A;TNFAIP3;CXCL1;CXCL3;GADD45G
KEGG_2021_Human,TNF signaling pathway,9/112,9.089705153960027e-10,5.090234886217616e-08,0,0,23.39622146418263,487.0791136953107,NFKBIA;JUN;IRF1;TNFAIP3;CXCL1;FOS;CXCL3;JUNB;ATF4
KEGG_2021_Human,MAPK signaling pathway,12/294,3.110081910158301e-09,1.230532035007246e-07,0,0,11.76805513934672,230.5199222932636,JUN;GADD45B;GADD45A;MYC;DDIT3;FOS;HSPA1B;VEGFA;HSPA1A;GADD45G;FGFR1;ATF4
KEGG_2021_Human,Legionellosis,7/57,3.66229772323585e-09,1.230532035007246e-07,0,0,36.59710526315789,710.9051776440058,NFKBIA;CXCL8;BNIP3;CXCL1;CXCL3;HSPA1B;HSPA1A
KEGG_2021_Human,IL-17 signaling pathway,8/94,5.1948145051174695e-09,1.4545480614328913e-07,0,0,24.59658914728682,469.1948169398866,NFKBIA;FOSL1;JUN;CXCL8;TNFAIP3;CXCL1;FOS;CXCL3
KEGG_2021_Human,Apoptosis,9/142,7.47423481776388e-09,1.7938163562633312e-07,0,0,18.09144482828693,338.5235713034712,NFKBIA;JUN;BCL2A1;GADD45B;GADD45A;DDIT3;FOS;GADD45G;ATF4
KEGG_2021_Human,Protein processing in endoplasmic reticulum,9/171,3.7778177565033685e-08,7.933417288657072e-07,0,0,14.83108108108108,253.48592972975317,PPP1R15A;DNAJB1;XBP1;HSPA5;DDIT3;HSPA1B;HSPA1A;ATF4;HERPUD1
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,9/193,1.069352001618179e-07,1.9961237363539344e-06,0,0,13.043257931844888,209.35789120985996,NFKBIA;JUN;ZFP36;CXCL8;MYC;CXCL1;FOS;CXCL3;VEGFA
KEGG_2021_Human,Breast cancer,8/147,1.741788166267373e-07,2.9262041193291865e-06,0,0,15.177362110311751,236.2080698031832,JUN;GADD45B;GADD45A;MYC;HES1;FOS;GADD45G;FGFR1
KEGG_2021_Human,Pathways in cancer,13/531,2.724904507317617e-07,4.161672338448724e-06,0,0,6.954964147821291,105.1288891350795,JUN;CXCL8;GADD45B;GADD45A;SLC2A1;FOS;VEGFA;GADD45G;NFKBIA;MYC;PIM1;HES1;FGFR1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,9/219,3.1278708020714734e-07,4.379019122900063e-06,0,0,11.413320463320463,170.94578219210206,NFKBIA;FOSL1;EGR1;JUN;ZFP36;MYC;SLC2A1;FOS;ATF4
KEGG_2021_Human,Transcriptional misregulation in cancer,8/192,1.329174643883012e-06,1.717702616710354e-05,0,0,11.439420289855072,154.7862511610518,CXCL8;BCL6;BCL2A1;GADD45B;GADD45A;MYC;DDIT3;GADD45G
KEGG_2021_Human,Colorectal cancer,6/86,1.533842544833756e-06,1.8406110538005076e-05,0,0,19.321753246753246,258.6745026156941,JUN;GADD45B;GADD45A;MYC;FOS;GADD45G
KEGG_2021_Human,Epstein-Barr virus infection,8/202,1.943994961221612e-06,2.1772743565682053e-05,0,0,10.84426116838488,142.61033503775286,NFKBIA;JUN;GADD45B;GADD45A;MYC;TNFAIP3;HES1;GADD45G
KEGG_2021_Human,Rheumatoid arthritis,6/93,2.430010704133413e-06,2.5515112393400843e-05,0,0,17.760859829825346,229.60555609521725,JUN;CXCL8;CXCL1;FOS;CXCL3;VEGFA
