Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Adipocytokine signaling pathway	2/69	3.511139e-05	2.106683e-03	0	0	5.949254e+02	6.102141e+03	NFKBIA;SLC2A1
KEGG_2021_Human	Insulin resistance	2/108	8.636444e-05	2.590933e-03	0	0	3.753019e+02	3.511675e+03	NFKBIA;SLC2A1
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	2/193	2.761553e-04	5.332226e-03	0	0	2.073927e+02	1.699489e+03	NFKBIA;UBC
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	3.554817e-04	5.332226e-03	0	0	1.823041e+02	1.447866e+03	NFKBIA;SLC2A1
KEGG_2021_Human	Shigellosis	2/246	4.483578e-04	5.380293e-03	0	0	1.619098e+02	1.248312e+03	NFKBIA;UBC
KEGG_2021_Human	Pathways in cancer	2/531	2.073567e-03	2.073567e-02	0	0	7.360302e+01	4.547552e+02	NFKBIA;SLC2A1
KEGG_2021_Human	Legionellosis	1/57	8.525987e-03	2.948257e-02	0	0	1.780446e+02	8.483180e+02	NFKBIA
KEGG_2021_Human	Cytosolic DNA-sensing pathway	1/63	9.420634e-03	2.948257e-02	0	0	1.607661e+02	7.499503e+02	NFKBIA
KEGG_2021_Human	Mitophagy	1/68	1.016576e-02	2.948257e-02	0	0	1.487313e+02	6.824880e+02	UBC
KEGG_2021_Human	Renal cell carcinoma	1/69	1.031474e-02	2.948257e-02	0	0	1.465368e+02	6.702857e+02	SLC2A1
KEGG_2021_Human	Central carbon metabolism in cancer	1/70	1.046371e-02	2.948257e-02	0	0	1.444058e+02	6.584677e+02	SLC2A1
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	1/70	1.046371e-02	2.948257e-02	0	0	1.444058e+02	6.584677e+02	NFKBIA
KEGG_2021_Human	RIG-I-like receptor signaling pathway	1/70	1.046371e-02	2.948257e-02	0	0	1.444058e+02	6.584677e+02	NFKBIA
KEGG_2021_Human	PPAR signaling pathway	1/74	1.105942e-02	2.948257e-02	0	0	1.364658e+02	6.147062e+02	UBC
KEGG_2021_Human	Chronic myeloid leukemia	1/76	1.135719e-02	2.948257e-02	0	0	1.328133e+02	5.947254e+02	NFKBIA
KEGG_2021_Human	Leishmaniasis	1/77	1.150605e-02	2.948257e-02	0	0	1.310592e+02	5.851639e+02	NFKBIA
KEGG_2021_Human	B cell receptor signaling pathway	1/81	1.210135e-02	2.948257e-02	0	0	1.244813e+02	5.495148e+02	NFKBIA
KEGG_2021_Human	Insulin secretion	1/86	1.284513e-02	2.948257e-02	0	0	1.171294e+02	5.100740e+02	SLC2A1
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	1/89	1.329122e-02	2.948257e-02	0	0	1.131193e+02	4.887492e+02	NFKBIA
KEGG_2021_Human	Bile secretion	1/90	1.343989e-02	2.948257e-02	0	0	1.118427e+02	4.819893e+02	SLC2A1
KEGG_2021_Human	Small cell lung cancer	1/92	1.373718e-02	2.948257e-02	0	0	1.093736e+02	4.689558e+02	NFKBIA
KEGG_2021_Human	Th1 and Th2 cell differentiation	1/92	1.373718e-02	2.948257e-02	0	0	1.093736e+02	4.689558e+02	NFKBIA
KEGG_2021_Human	IL-17 signaling pathway	1/94	1.403441e-02	2.948257e-02	0	0	1.070108e+02	4.565339e+02	NFKBIA
KEGG_2021_Human	Prostate cancer	1/97	1.448014e-02	2.948257e-02	0	0	1.036510e+02	4.389598e+02	NFKBIA
