Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Protein digestion and absorption,1/103,0.015371202926661,0.046113608779983,0,0,97.52450980392156,407.1901321318921,ELN
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,1/219,0.032493020414414,0.048739530621621,0,0,45.36467889908257,155.45250472614427,MSX1
KEGG_2021_Human,Human papillomavirus infection,1/331,0.0488349958895173,0.0488349958895173,0,0,29.798484848484847,89.9708064995216,HES6
