Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Antigen processing and presentation	3/78	6.713763e-06	2.736180e-04	0	0	1.138000e+02	1.355512e+03	CD74;HLA-B;HLA-DRA
KEGG_2021_Human	Staphylococcus aureus infection	3/95	1.216080e-05	2.736180e-04	0	0	9.269255e+01	1.049029e+03	C3;HLA-DRA;CFB
KEGG_2021_Human	Phagosome	3/152	4.966245e-05	7.390977e-04	0	0	5.706903e+01	5.655690e+02	C3;HLA-B;HLA-DRA
KEGG_2021_Human	Herpes simplex virus 1 infection	4/498	7.079005e-05	7.390977e-04	0	0	2.631039e+01	2.514166e+02	C3;CD74;HLA-B;HLA-DRA
KEGG_2021_Human	Tuberculosis	3/180	8.212196e-05	7.390977e-04	0	0	4.797337e+01	4.513001e+02	C3;CD74;HLA-DRA
KEGG_2021_Human	Allograft rejection	2/38	1.566654e-04	1.130445e-03	0	0	1.385694e+02	1.214062e+03	HLA-B;HLA-DRA
KEGG_2021_Human	Graft-versus-host disease	2/42	1.916718e-04	1.130445e-03	0	0	1.246875e+02	1.067291e+03	HLA-B;HLA-DRA
KEGG_2021_Human	Type I diabetes mellitus	2/43	2.009681e-04	1.130445e-03	0	0	1.216402e+02	1.035446e+03	HLA-B;HLA-DRA
KEGG_2021_Human	Autoimmune thyroid disease	2/53	3.058661e-04	1.529330e-03	0	0	9.774020e+01	7.909492e+02	HLA-B;HLA-DRA
KEGG_2021_Human	Viral myocarditis	2/60	3.921436e-04	1.764646e-03	0	0	8.591379e+01	6.738977e+02	HLA-B;HLA-DRA
KEGG_2021_Human	Glycolysis / Gluconeogenesis	2/67	4.889340e-04	2.000185e-03	0	0	7.663462e+01	5.842074e+02	TPI1;ENO1
KEGG_2021_Human	Leishmaniasis	2/77	6.453242e-04	2.419966e-03	0	0	6.638333e+01	4.876359e+02	C3;HLA-DRA
KEGG_2021_Human	Complement and coagulation cascades	2/85	7.856795e-04	2.719660e-03	0	0	5.996084e+01	4.286578e+02	C3;CFB
KEGG_2021_Human	Systemic lupus erythematosus	2/135	1.964237e-03	6.313619e-03	0	0	3.732519e+01	2.326349e+02	C3;HLA-DRA
KEGG_2021_Human	Cell adhesion molecules	2/148	2.354117e-03	7.062352e-03	0	0	3.397945e+01	2.056297e+02	HLA-B;HLA-DRA
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	2/193	3.961802e-03	1.093107e-02	0	0	2.591492e+01	1.433369e+02	C3;HLA-B
