Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Glycolysis / Gluconeogenesis,4/67,5.351119548041138e-07,1.8728918418143983e-05,0,0,79.03571428571429,1141.3381406941508,LDHA;TPI1;ENO1;GAPDH
KEGG_2021_Human,HIF-1 signaling pathway,3/109,0.00016778039954187316,0.0029361569919827,0,0,33.086570477247506,287.6167456833332,LDHA;ENO1;GAPDH
KEGG_2021_Human,Nicotinate and nicotinamide metabolism,2/35,0.0005541829397838258,0.0064654676308113,0,0,67.16161616161617,503.57885305588366,NNMT;NAMPT
KEGG_2021_Human,Phenylalanine metabolism,1/17,0.0168712348172723,0.1197904704211513,0,0,65.67105263157895,268.0787715603985,MIF
KEGG_2021_Human,Epstein-Barr virus infection,2/202,0.0171129243458787,0.1197904704211513,0,0,10.988888888888887,44.701935078328205,VIM;CD44
KEGG_2021_Human,Shigellosis,2/246,0.0247462599268825,0.1204775371946154,0,0,8.987249544626593,33.24456327292995,UBC;CD44
KEGG_2021_Human,Salmonella infection,2/249,0.0253095867946365,0.1204775371946154,0,0,8.876743139901034,32.63598554861316,GAPDH;S100A10
KEGG_2021_Human,Fructose and mannose metabolism,1/33,0.0325028162269628,0.1204775371946154,0,0,32.80921052631579,112.41841533087528,TPI1
KEGG_2021_Human,Propanoate metabolism,1/34,0.0334719094011011,0.1204775371946154,0,0,31.8133971291866,108.07165990908112,LDHA
KEGG_2021_Human,Tyrosine metabolism,1/36,0.0354073301248565,0.1204775371946154,0,0,29.99248120300752,100.19997336732251,MIF
KEGG_2021_Human,MicroRNAs in cancer,2/310,0.0378643688325934,0.1204775371946154,0,0,7.096681096681096,23.23272245033935,VIM;CD44
KEGG_2021_Human,Pyruvate metabolism,1/47,0.0459865060964822,0.1315260961054593,0,0,22.80778032036613,70.23444455974413,LDHA
KEGG_2021_Human,Cysteine and methionine metabolism,1/50,0.0488525499820277,0.1315260961054593,0,0,21.40816326530612,64.63014669364038,LDHA
KEGG_2021_Human,Mitophagy,1/68,0.0658777916264093,0.1453772438414435,0,0,15.642576590730558,42.54708713186295,UBC
KEGG_2021_Human,Central carbon metabolism in cancer,1/70,0.0677515123929905,0.1453772438414435,0,0,15.187643020594964,40.88374528633187,LDHA
KEGG_2021_Human,Inositol phosphate metabolism,1/73,0.0705554002871621,0.1453772438414435,0,0,14.552631578947368,38.5842224505161,TPI1
KEGG_2021_Human,PPAR signaling pathway,1/74,0.0714882479432861,0.1453772438414435,0,0,14.352559480894016,37.865241152955655,UBC
KEGG_2021_Human,RNA degradation,1/79,0.0761391600452789,0.1453772438414435,0,0,13.429149797570853,34.58264664318254,ENO1
KEGG_2021_Human,Peroxisome,1/82,0.0789190752282122,0.1453772438414435,0,0,12.929824561403509,32.8331213455501,SOD2
KEGG_2021_Human,ECM-receptor interaction,1/88,0.0844550840845328,0.1477963971479324,0,0,12.03448275862069,29.7436505826784,CD44
KEGG_2021_Human,Hematopoietic cell lineage,1/99,0.0945224360353158,0.1547155457924982,0,0,10.677765843179378,25.18797462704863,CD44
KEGG_2021_Human,Longevity regulating pathway,1/102,0.0972497716409988,0.1547155457924982,0,0,10.359041167274622,24.14146206514577,SOD2
KEGG_2021_Human,Glucagon signaling pathway,1/107,0.1017779964901721,0.1548795598763489,0,0,9.867924528301886,22.547826080103853,LDHA
KEGG_2021_Human,FoxO signaling pathway,1/131,0.1232147495679265,0.1796881764532261,0,0,8.036437246963562,16.82690539004688,SOD2
KEGG_2021_Human,Ubiquitin mediated proteolysis,1/140,0.1311275119680028,0.1835785167552039,0,0,7.512684589170768,15.262657737297207,UBC
KEGG_2021_Human,NOD-like receptor signaling pathway,1/181,0.1663239190403913,0.2173426609809869,0,0,5.789473684210527,10.385262524745686,NAMPT
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.176366309481075,0.2173426609809869,0,0,5.4243421052631575,9.412275801923704,UBC
KEGG_2021_Human,Pathogenic Escherichia coli infection,1/197,0.1796881576076363,0.2173426609809869,0,0,5.312567132116004,9.119193547123624,GAPDH
KEGG_2021_Human,Diabetic cardiomyopathy,1/203,0.1846470750790034,0.2173426609809869,0,0,5.153204794163627,8.705355125083043,GAPDH
KEGG_2021_Human,Proteoglycans in cancer,1/205,0.1862937094122744,0.2173426609809869,0,0,5.102167182662539,8.573838716448728,CD44
KEGG_2021_Human,Lipid and atherosclerosis,1/215,0.1944796035377345,0.2195737459297003,0,0,4.861288735858338,7.960010231667535,SOD2
KEGG_2021_Human,Parkinson disease,1/249,0.2217304007386233,0.2425176258078692,0,0,4.187606112054329,6.307761966777845,UBC
KEGG_2021_Human,Huntington disease,1/306,0.2654609411363627,0.281549483023415,0,0,3.395168248490078,4.50296942391665,SOD2
KEGG_2021_Human,Alzheimer disease,1/369,0.3110760705675902,0.3202253667607546,0,0,2.804919908466819,3.275354895762432,GAPDH
KEGG_2021_Human,Pathways of neurodegeneration,1/475,0.3818115287483296,0.3818115287483296,0,0,2.1658894070619588,2.0853793393518445,UBC
