Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	9/219	1.208432e-09	1.498455e-07	0	0	2.350595e+01	4.826699e+02	EGR1;JUN;ZFP36;HLA-B;HLA-DRA;FOS;HLA-A;B2M;HLA-DRB1
KEGG_2021_Human	Pertussis	6/76	1.782824e-08	8.628796e-07	0	0	4.370330e+01	7.797753e+02	C3;JUN;C1S;C1R;SERPING1;FOS
KEGG_2021_Human	Antigen processing and presentation	6/78	2.087612e-08	8.628796e-07	0	0	4.248504e+01	7.513335e+02	CD74;HLA-B;HLA-DRA;HLA-A;B2M;HLA-DRB1
KEGG_2021_Human	Epstein-Barr virus infection	7/202	3.167236e-07	9.818431e-06	0	0	1.866667e+01	2.793511e+02	JUN;HLA-B;HLA-DRA;HLA-A;B2M;CD44;HLA-DRB1
KEGG_2021_Human	Leishmaniasis	5/77	8.030997e-07	1.991687e-05	0	0	3.451910e+01	4.844682e+02	C3;JUN;HLA-DRA;FOS;HLA-DRB1
KEGG_2021_Human	Phagosome	6/152	1.113048e-06	2.300299e-05	0	0	2.087355e+01	2.861432e+02	C3;C1R;HLA-B;HLA-DRA;HLA-A;HLA-DRB1
KEGG_2021_Human	Allograft rejection	4/38	1.560523e-06	2.764356e-05	0	0	5.716212e+01	7.642856e+02	HLA-B;HLA-DRA;HLA-A;HLA-DRB1
KEGG_2021_Human	Staphylococcus aureus infection	5/95	2.285503e-06	3.208774e-05	0	0	2.759028e+01	3.583680e+02	C3;C1S;C1R;HLA-DRA;HLA-DRB1
KEGG_2021_Human	Graft-versus-host disease	4/42	2.350852e-06	3.208774e-05	0	0	5.113479e+01	6.627443e+02	HLA-B;HLA-DRA;HLA-A;HLA-DRB1
KEGG_2021_Human	Type I diabetes mellitus	4/43	2.587721e-06	3.208774e-05	0	0	4.982114e+01	6.409356e+02	HLA-B;HLA-DRA;HLA-A;HLA-DRB1
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	6/193	4.449143e-06	5.015397e-05	0	0	1.626327e+01	2.004090e+02	C3;JUN;ZFP36;HLA-B;FOS;HLA-A
KEGG_2021_Human	Autoimmune thyroid disease	4/53	6.040298e-06	6.241641e-05	0	0	3.963365e+01	4.762798e+02	HLA-B;HLA-DRA;HLA-A;HLA-DRB1
KEGG_2021_Human	Viral myocarditis	4/60	9.944063e-06	9.485106e-05	0	0	3.466725e+01	3.993159e+02	HLA-B;HLA-DRA;HLA-A;HLA-DRB1
KEGG_2021_Human	Systemic lupus erythematosus	5/135	1.279373e-05	1.133159e-04	0	0	1.906250e+01	2.147687e+02	C3;C1S;C1R;HLA-DRA;HLA-DRB1
KEGG_2021_Human	Complement and coagulation cascades	4/85	3.963362e-05	3.276379e-04	0	0	2.393737e+01	2.426252e+02	C3;C1S;C1R;SERPING1
KEGG_2021_Human	Th1 and Th2 cell differentiation	4/92	5.407015e-05	4.114455e-04	0	0	2.202550e+01	2.164056e+02	JUN;HLA-DRA;FOS;HLA-DRB1
KEGG_2021_Human	Rheumatoid arthritis	4/93	5.640785e-05	4.114455e-04	0	0	2.177693e+01	2.130415e+02	JUN;HLA-DRA;FOS;HLA-DRB1
KEGG_2021_Human	Th17 cell differentiation	4/107	9.744170e-05	6.712650e-04	0	0	1.880369e+01	1.736757e+02	JUN;HLA-DRA;FOS;HLA-DRB1
KEGG_2021_Human	Human immunodeficiency virus 1 infection	5/212	1.104555e-04	7.052579e-04	0	0	1.192512e+01	1.086486e+02	JUN;HLA-B;FOS;HLA-A;B2M
KEGG_2021_Human	Herpes simplex virus 1 infection	7/498	1.137513e-04	7.052579e-04	0	0	7.302390e+00	6.631663e+01	C3;CD74;HLA-B;HLA-DRA;HLA-A;B2M;HLA-DRB1
KEGG_2021_Human	Coronavirus disease	5/232	1.683725e-04	9.941993e-04	0	0	1.086344e+01	9.439600e+01	C3;JUN;C1S;C1R;FOS
KEGG_2021_Human	Osteoclast differentiation	4/127	1.888547e-04	1.064454e-03	0	0	1.573032e+01	1.348801e+02	JUN;TNFRSF11B;FOS;JUNB
KEGG_2021_Human	Fluid shear stress and atherosclerosis	4/139	2.668411e-04	1.438621e-03	0	0	1.432340e+01	1.178652e+02	JUN;DUSP1;MGST1;FOS
KEGG_2021_Human	Cell adhesion molecules	4/148	3.388515e-04	1.750733e-03	0	0	1.342209e+01	1.072418e+02	HLA-B;HLA-DRA;HLA-A;HLA-DRB1
KEGG_2021_Human	Inflammatory bowel disease	3/65	4.217117e-04	2.091690e-03	0	0	2.291820e+01	1.781017e+02	JUN;HLA-DRA;HLA-DRB1
KEGG_2021_Human	Amphetamine addiction	3/69	5.026759e-04	2.397378e-03	0	0	2.152489e+01	1.634937e+02	JUN;MAOB;FOS
