Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Antigen processing and presentation	6/78	1.166759e-08	1.260099e-06	0	0	4.735000e+01	8.649165e+02	HLA-C;TAP1;HLA-DRB1;HLA-E;TAPBP;HLA-DPA1
KEGG_2021_Human	Viral myocarditis	5/60	1.413699e-07	7.633975e-06	0	0	5.026263e+01	7.927364e+02	LAMA2;HLA-C;HLA-DRB1;HLA-E;HLA-DPA1
KEGG_2021_Human	Phagosome	6/152	6.300152e-07	2.268055e-05	0	0	2.326380e+01	3.321494e+02	C1R;HLA-C;TAP1;HLA-DRB1;HLA-E;HLA-DPA1
KEGG_2021_Human	Allograft rejection	4/38	1.066450e-06	2.730614e-05	0	0	6.335453e+01	8.711993e+02	HLA-C;HLA-DRB1;HLA-DPA1;HLA-E
KEGG_2021_Human	Staphylococcus aureus infection	5/95	1.423044e-06	2.730614e-05	0	0	3.066204e+01	4.127942e+02	C1S;C1R;CFB;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Graft-versus-host disease	4/42	1.607582e-06	2.730614e-05	0	0	5.667425e+01	7.560787e+02	HLA-C;HLA-DRB1;HLA-E;HLA-DPA1
KEGG_2021_Human	Type I diabetes mellitus	4/43	1.769842e-06	2.730614e-05	0	0	5.521830e+01	7.313453e+02	HLA-C;HLA-DRB1;HLA-E;HLA-DPA1
KEGG_2021_Human	Epstein-Barr virus infection	6/202	3.300466e-06	4.455630e-05	0	0	1.728542e+01	2.181670e+02	HLA-C;TAP1;HLA-DRB1;HLA-E;TAPBP;HLA-DPA1
KEGG_2021_Human	Autoimmune thyroid disease	4/53	4.137796e-06	4.965355e-05	0	0	4.392719e+01	5.444928e+02	HLA-C;HLA-DRB1;HLA-E;HLA-DPA1
KEGG_2021_Human	Complement and coagulation cascades	4/85	2.728909e-05	2.947222e-04	0	0	2.653053e+01	2.788100e+02	C1S;C1R;SERPING1;CFB
KEGG_2021_Human	Human immunodeficiency virus 1 infection	5/212	7.012016e-05	6.884525e-04	0	0	1.325282e+01	1.267672e+02	WEE1;HLA-C;TAP1;HLA-E;TAPBP
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	5/219	8.174970e-05	7.357473e-04	0	0	1.281477e+01	1.206107e+02	HLA-C;ADCY2;HLA-DRB1;HLA-E;HLA-DPA1
KEGG_2021_Human	Human cytomegalovirus infection	5/225	9.285473e-05	7.714085e-04	0	0	1.246149e+01	1.156984e+02	HLA-C;TAP1;ADCY2;HLA-E;TAPBP
KEGG_2021_Human	Systemic lupus erythematosus	4/135	1.656440e-04	1.277825e-03	0	0	1.636311e+01	1.424518e+02	C1S;C1R;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Cell adhesion molecules	4/148	2.356538e-04	1.696707e-03	0	0	1.487613e+01	1.242625e+02	HLA-C;HLA-DRB1;HLA-E;HLA-DPA1
KEGG_2021_Human	Herpes simplex virus 1 infection	6/498	4.961158e-04	3.218670e-03	0	0	6.782927e+00	5.160926e+01	HLA-C;TAP1;HLA-DRB1;HLA-E;TAPBP;HLA-DPA1
KEGG_2021_Human	Pertussis	3/76	5.066425e-04	3.218670e-03	0	0	2.150613e+01	1.631822e+02	C1S;C1R;SERPING1
KEGG_2021_Human	Toxoplasmosis	3/112	1.560806e-03	9.364837e-03	0	0	1.437711e+01	9.291285e+01	LAMA2;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Asthma	2/31	1.836089e-03	1.043672e-02	0	0	3.524315e+01	2.220360e+02	HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Intestinal immune network for IgA production	2/48	4.357042e-03	2.352803e-02	0	0	2.219955e+01	1.206759e+02	HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Glutathione metabolism	2/57	6.093453e-03	3.133776e-02	0	0	1.855851e+01	9.465842e+01	GPX3;MGST1
KEGG_2021_Human	Inflammatory bowel disease	2/65	7.859737e-03	3.858416e-02	0	0	1.619536e+01	7.848275e+01	HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Thyroid hormone synthesis	2/75	1.035158e-02	4.860743e-02	0	0	1.396979e+01	6.385056e+01	GPX3;ADCY2
KEGG_2021_Human	Leishmaniasis	2/77	1.088676e-02	4.899044e-02	0	0	1.359590e+01	6.145628e+01	HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Coronavirus disease	3/232	1.187576e-02	5.130329e-02	0	0	6.801885e+00	3.015450e+01	C1S;C1R;CFB
KEGG_2021_Human	Bile secretion	2/90	1.465408e-02	6.014327e-02	0	0	1.157984e+01	4.890207e+01	ADCY2;AQP1
KEGG_2021_Human	Th1 and Th2 cell differentiation	2/92	1.527700e-02	6.014327e-02	0	0	1.132137e+01	4.733924e+01	HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Rheumatoid arthritis	2/93	1.559270e-02	6.014327e-02	0	0	1.119639e+01	4.658766e+01	HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Dilated cardiomyopathy	2/96	1.655657e-02	6.165897e-02	0	0	1.083742e+01	4.444398e+01	LAMA2;ADCY2
