Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	HIF-1 signaling pathway	10/109	5.904597e-10	1.121873e-07	0	0	1.940571e+01	4.123736e+02	LDHA;PFKFB3;SERPINE1;PGK1;SLC2A1;ENO1;TIMP1;ENO2;PFKP;VEGFA
KEGG_2021_Human	Fluid shear stress and atherosclerosis	9/139	9.436798e-08	8.964958e-06	0	0	1.315185e+01	2.127452e+02	JUN;HSP90AA1;VCAM1;DUSP1;CCL2;TXN;SQSTM1;ACTB;VEGFA
KEGG_2021_Human	Shigellosis	11/246	1.502797e-07	9.517714e-06	0	0	9.018440e+00	1.416866e+02	NFKBIA;JUN;TNIP1;ACTN1;BNIP3;ITGA5;PFN1;SQSTM1;ACTB;MYL12A;CD44
KEGG_2021_Human	TNF signaling pathway	8/112	2.359535e-07	1.120779e-05	0	0	1.449304e+01	2.211585e+02	NFKBIA;JUN;CEBPB;VCAM1;CCL2;JUNB;CX3CL1;ATF4
KEGG_2021_Human	Lipid and atherosclerosis	10/215	3.958757e-07	1.504328e-05	0	0	9.321336e+00	1.374167e+02	NFKBIA;JUN;HSP90AA1;VCAM1;HSPA5;CCL2;SOD2;HSPA1B;HSPA1A;ATF4
KEGG_2021_Human	Salmonella infection	10/249	1.508571e-06	4.777143e-05	0	0	7.981476e+00	1.069865e+02	NFKBIA;TUBA1C;JUN;HSP90AA1;ANXA2;TXN;PFN1;ACTB;MYL12A;S100A10
KEGG_2021_Human	Focal adhesion	9/201	2.119143e-06	5.095013e-05	0	0	8.876953e+00	1.159729e+02	JUN;ACTN1;COL6A2;COL6A1;TNC;ITGA5;ACTB;MYL12A;VEGFA
KEGG_2021_Human	Glycolysis / Gluconeogenesis	6/67	2.145269e-06	5.095013e-05	0	0	1.822522e+01	2.378800e+02	LDHA;TPI1;PGK1;ENO1;ENO2;PFKP
KEGG_2021_Human	Protein processing in endoplasmic reticulum	8/171	5.785620e-06	1.221409e-04	0	0	9.219515e+00	1.111886e+02	DNAJB1;HSP90AA1;HSPA5;SEC61G;CRYAB;HSPA1B;HSPA1A;ATF4
KEGG_2021_Human	Antigen processing and presentation	5/78	8.006388e-05	1.521214e-03	0	0	1.256596e+01	1.185307e+02	HSP90AA1;HSPA5;HLA-B;HSPA1B;HSPA1A
KEGG_2021_Human	ECM-receptor interaction	5/88	1.420670e-04	2.453884e-03	0	0	1.104641e+01	9.786247e+01	COL6A2;COL6A1;TNC;ITGA5;CD44
KEGG_2021_Human	IL-17 signaling pathway	5/94	1.937831e-04	3.068233e-03	0	0	1.029859e+01	8.804024e+01	NFKBIA;HSP90AA1;CEBPB;JUN;CCL2
KEGG_2021_Human	Phagosome	6/152	2.259578e-04	3.302460e-03	0	0	7.582000e+00	6.365212e+01	TUBA1C;C1R;SEC61G;HLA-B;ITGA5;ACTB
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	5/100	2.587519e-04	3.511633e-03	0	0	9.645224e+00	7.966609e+01	JUN;VCAM1;SERPINE1;CCL2;VEGFA
KEGG_2021_Human	Longevity regulating pathway	5/102	2.837128e-04	3.593696e-03	0	0	9.445399e+00	7.714575e+01	SOD2;CRYAB;HSPA1B;ATF4;HSPA1A
KEGG_2021_Human	Legionellosis	4/57	3.029690e-04	3.597757e-03	0	0	1.373308e+01	1.112638e+02	NFKBIA;BNIP3;HSPA1B;HSPA1A
KEGG_2021_Human	Coronavirus disease	7/232	3.517284e-04	3.931082e-03	0	0	5.770818e+00	4.589330e+01	NFKBIA;JUN;C1S;C1R;CCL2;RPL22L1;CFB
KEGG_2021_Human	Tight junction	6/169	3.990914e-04	4.212632e-03	0	0	6.785391e+00	5.310464e+01	TUBA1C;JUN;ACTN1;YBX3;ACTB;MYL12A
KEGG_2021_Human	Leukocyte transendothelial migration	5/114	4.739479e-04	4.739479e-03	0	0	8.400442e+00	6.430045e+01	VCAM1;ACTN1;ACTB;MYL12A;CD99
KEGG_2021_Human	NOD-like receptor signaling pathway	6/181	5.737492e-04	5.388354e-03	0	0	6.316262e+00	4.714027e+01	NFKBIA;JUN;HSP90AA1;NAMPT;CCL2;TXN
