Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Complement and coagulation cascades,7/85,1.677281509800533e-09,2.76751449117088e-07,0,0,41.47406082289803,838.0286679916385,C1QB;C3;C1S;C1R;SERPING1;F3;C1QC
KEGG_2021_Human,Pertussis,6/76,3.4264233234940834e-08,2.826799241882619e-06,0,0,38.72727272727273,665.6894340359096,C1QB;C3;C1S;C1R;SERPING1;C1QC
KEGG_2021_Human,Staphylococcus aureus infection,6/95,1.314171337019725e-07,7.227942353608487e-06,0,0,30.43054136874361,482.1685607243746,C1QB;C3;C1S;C1R;HLA-DRA;C1QC
KEGG_2021_Human,Systemic lupus erythematosus,6/135,1.0532377929330136e-06,4.344605895848681e-05,0,0,20.952431289640597,288.3817533699955,C1QB;C3;C1S;C1R;HLA-DRA;C1QC
KEGG_2021_Human,Coronavirus disease,7/232,1.686912784980058e-06,5.566812190434192e-05,0,0,14.271317829457365,189.70306857262452,C1QB;C3;C1S;C1R;PIK3R1;TNFRSF1A;C1QC
KEGG_2021_Human,Chagas disease,5/102,5.5190445322269966e-06,0.0001517737246362424,0,0,22.741122565864835,275.3337252458451,C1QB;C3;PIK3R1;TNFRSF1A;C1QC
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,5/193,0.000118344680417117,0.0027895531812606,0,0,11.67966903073286,105.60650652212236,C3;ZFP36;HLA-B;PIK3R1;TNFRSF1A
KEGG_2021_Human,Epstein-Barr virus infection,5/202,0.00014649395928495722,0.0030214379102522,0,0,11.141003948110548,98.3586470762866,HLA-B;HLA-DRA;VIM;PIK3R1;CD44
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,5/219,0.0002133819652192262,0.0039120026956858,0,0,10.247144340602285,86.61323677466518,ZFP36;HLA-B;HLA-DRA;PIK3R1;TNFRSF1A
KEGG_2021_Human,Phagosome,4/152,0.0005627493829057265,0.0092853648179444,0,0,11.63454759106933,87.05755206365639,C3;C1R;HLA-B;HLA-DRA
KEGG_2021_Human,Antigen processing and presentation,3/78,0.0009802139911592198,0.0145472401448172,0,0,16.914893617021278,117.18197921679683,CD74;HLA-B;HLA-DRA
KEGG_2021_Human,Tuberculosis,4/180,0.0010579811014412,0.0145472401448172,0,0,9.769762845849804,66.93648290024086,C3;CD74;HLA-DRA;TNFRSF1A
KEGG_2021_Human,Human papillomavirus infection,5/331,0.0013865247828082,0.0159731220380918,0,0,6.688479890933879,44.01658396803522,COL6A1;SPP1;HLA-B;PIK3R1;TNFRSF1A
KEGG_2021_Human,ECM-receptor interaction,3/88,0.0013893445250705,0.0159731220380918,0,0,14.917396745932416,98.14040765115747,COL6A1;SPP1;CD44
KEGG_2021_Human,Herpes simplex virus 1 infection,6/498,0.0014521020034628,0.0159731220380918,0,0,5.393015521064301,35.241971043897124,C3;CD74;HLA-B;HLA-DRA;PIK3R1;TNFRSF1A
KEGG_2021_Human,Shigellosis,4/246,0.0033014024401746,0.034045712664301,0,0,7.081566654689184,40.45987900324554,C3;PIK3R1;CD44;TNFRSF1A
KEGG_2021_Human,Osteoclast differentiation,3/127,0.0039424476157876,0.0372667835052012,0,0,10.205559368565543,56.49750237396662,TNFRSF11B;PIK3R1;TNFRSF1A
KEGG_2021_Human,Allograft rejection,2/38,0.0040654672914765,0.0372667835052012,0,0,23.04861111111111,126.88782669928548,HLA-B;HLA-DRA
KEGG_2021_Human,Ferroptosis,2/41,0.0047194951697385,0.038855183720943,0,0,21.272435897435894,113.93630347986566,STEAP3;CP
KEGG_2021_Human,Tryptophan metabolism,2/42,0.0049475924537835,0.038855183720943,0,0,20.73958333333333,110.1034239545967,MAOB;CYP1B1
KEGG_2021_Human,Graft-versus-host disease,2/42,0.0049475924537835,0.038855183720943,0,0,20.73958333333333,110.1034239545967,HLA-B;HLA-DRA
KEGG_2021_Human,Type I diabetes mellitus,2/43,0.0051806911627924,0.038855183720943,0,0,20.23272357723577,106.48111760263689,HLA-B;HLA-DRA
KEGG_2021_Human,mTOR signaling pathway,3/154,0.0067341648445892,0.0483103130155316,0,0,8.369310976468931,41.85125407551329,MAPKAP1;PIK3R1;TNFRSF1A
KEGG_2021_Human,MicroRNAs in cancer,4/310,0.0074471806429307,0.051199366920149,0,0,5.58226768968457,27.352663732653347,CYP1B1;VIM;PIK3R1;CD44
KEGG_2021_Human,Autoimmune thyroid disease,2/53,0.0077812124839393,0.0513560023939995,0,0,16.25735294117647,78.94640668269977,HLA-B;HLA-DRA
KEGG_2021_Human,Influenza A,3/172,0.0091115611350234,0.057823368741495,0,0,7.471106634772756,35.10083699792174,HLA-DRA;PIK3R1;TNFRSF1A
KEGG_2021_Human,Viral myocarditis,2/60,0.0098843204040546,0.0604041802470007,0,0,14.290229885057473,65.97521300057967,HLA-B;HLA-DRA
KEGG_2021_Human,GnRH secretion,2/64,0.0111869000374274,0.0659228037919833,0,0,13.365591397849462,60.051760195429935,SPP1;PIK3R1
KEGG_2021_Human,Central carbon metabolism in cancer,2/70,0.013274200561286,0.075525623883179,0,0,12.182598039215684,52.65237170003471,LDHA;PIK3R1
KEGG_2021_Human,Focal adhesion,3/201,0.0138618079930174,0.0757529838462479,0,0,6.367504835589942,27.24411982978463,COL6A1;SPP1;PIK3R1
KEGG_2021_Human,Viral carcinogenesis,3/203,0.0142323787832344,0.0757529838462479,0,0,6.303191489361702,26.80265596371328,C3;HLA-B;PIK3R1
KEGG_2021_Human,Leishmaniasis,2/77,0.0159057771109684,0.0798481512891414,0,0,11.041666666666666,45.72434655376785,C3;HLA-DRA
KEGG_2021_Human,Human immunodeficiency virus 1 infection,3/212,0.0159696302578282,0.0798481512891414,0,0,6.029013539651838,24.942429757967023,HLA-B;PIK3R1;TNFRSF1A
KEGG_2021_Human,Lipid and atherosclerosis,3/215,0.0165741561046105,0.0804334046253159,0,0,5.942794058611,24.364924698932946,PIK3R1;SOD2;TNFRSF1A
KEGG_2021_Human,Human cytomegalovirus infection,3/225,0.0186815987482381,0.0880703940988369,0,0,5.672225416906268,22.5766838560242,HLA-B;PIK3R1;TNFRSF1A
KEGG_2021_Human,Phosphatidylinositol signaling system,2/97,0.024523395696302,0.1123988969413844,0,0,8.708333333333334,32.29161197321332,ITPKB;PIK3R1
KEGG_2021_Human,Hematopoietic cell lineage,2/99,0.0254700751762328,0.1126731242390068,0,0,8.527920962199312,31.299610767204847,HLA-DRA;CD44
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.025948961945953,0.1126731242390068,0,0,8.44047619047619,30.82144266223132,PIK3R1;F3
KEGG_2021_Human,Longevity regulating pathway,2/102,0.0269177264019109,0.1138826886234695,0,0,8.270833333333334,29.898816321570965,PIK3R1;SOD2
KEGG_2021_Human,Toll-like receptor signaling pathway,2/104,0.0279010087799889,0.1150916612174542,0,0,8.107843137254902,29.01872002714532,SPP1;PIK3R1
KEGG_2021_Human,Insulin resistance,2/108,0.029910476921657,0.1172456179549307,0,0,7.800314465408805,27.37556602865933,PIK3R1;TNFRSF1A
KEGG_2021_Human,HIF-1 signaling pathway,2/109,0.0304216645881743,0.1172456179549307,0,0,7.72702492211838,26.98740935600948,LDHA;PIK3R1
KEGG_2021_Human,Prion disease,3/273,0.0307878131544062,0.1172456179549307,0,0,4.652482269503546,16.193598877553605,C1QB;PIK3R1;C1QC
KEGG_2021_Human,TNF signaling pathway,2/112,0.031976077624072,0.1172456179549307,0,0,7.515151515151516,25.872917364872013,PIK3R1;TNFRSF1A
KEGG_2021_Human,Toxoplasmosis,2/112,0.031976077624072,0.1172456179549307,0,0,7.515151515151516,25.872917364872013,HLA-DRA;TNFRSF1A
KEGG_2021_Human,Sphingolipid signaling pathway,2/119,0.0357221395623332,0.1281337614735866,0,0,7.063034188034188,23.53392133172277,PIK3R1;TNFRSF1A
KEGG_2021_Human,Phenylalanine metabolism,1/17,0.0416766547912334,0.1431653403704267,0,0,25.426020408163264,80.79916728086499,MAOB
