Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	PPAR signaling pathway	6/74	2.919646e-07	3.153217e-05	0	0	2.615320e+01	3.935177e+02	FADS2;HMGCS1;FABP5;SCD;FABP7;PLTP
KEGG_2021_Human	Complement and coagulation cascades	5/85	1.473488e-05	7.956837e-04	0	0	1.824173e+01	2.029446e+02	C1QB;C1QA;CFI;VSIG4;C1QC
KEGG_2021_Human	Pertussis	4/76	1.717976e-04	6.184714e-03	0	0	1.598631e+01	1.385884e+02	C1QB;C1QA;CALM1;C1QC
KEGG_2021_Human	Staphylococcus aureus infection	4/95	4.046182e-04	8.196207e-03	0	0	1.263641e+01	9.872277e+01	C1QB;C1QA;CFI;C1QC
KEGG_2021_Human	Glycine, serine and threonine metabolism	3/40	4.183063e-04	8.196207e-03	0	0	2.303861e+01	1.792242e+02	MAOB;PSAT1;PHGDH
KEGG_2021_Human	Aldosterone synthesis and secretion	4/98	4.553448e-04	8.196207e-03	0	0	1.223127e+01	9.411294e+01	ATP1A2;ATP1B1;CALM1;AGT
KEGG_2021_Human	Cholesterol metabolism	3/50	8.084333e-04	1.091385e-02	0	0	1.812766e+01	1.290764e+02	APOC2;APOC1;PLTP
KEGG_2021_Human	Cysteine and methionine metabolism	3/50	8.084333e-04	1.091385e-02	0	0	1.812766e+01	1.290764e+02	AHCYL1;PSAT1;PHGDH
KEGG_2021_Human	Mineral absorption	3/60	1.375101e-03	1.650121e-02	0	0	1.493985e+01	9.844208e+01	MT1F;ATP1A2;ATP1B1
KEGG_2021_Human	Renin secretion	3/69	2.056598e-03	2.174718e-02	0	0	1.289675e+01	7.978837e+01	ADCYAP1R1;CALM1;AGT
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	4/150	2.214991e-03	2.174718e-02	0	0	7.854278e+00	4.800933e+01	ATP1A2;ATP1B1;CALM1;AGT
KEGG_2021_Human	Gastric acid secretion	3/76	2.709626e-03	2.438663e-02	0	0	1.165597e+01	6.889779e+01	ATP1A2;ATP1B1;CALM1
KEGG_2021_Human	Proximal tubule bicarbonate reclamation	2/23	3.163549e-03	2.628179e-02	0	0	2.670154e+01	1.536957e+02	ATP1A2;ATP1B1
KEGG_2021_Human	Insulin secretion	3/86	3.843332e-03	2.964856e-02	0	0	1.024647e+01	5.698489e+01	ADCYAP1R1;ATP1A2;ATP1B1
KEGG_2021_Human	Biosynthesis of unsaturated fatty acids	2/27	4.347799e-03	3.130415e-02	0	0	2.242479e+01	1.219479e+02	FADS2;SCD
KEGG_2021_Human	Salivary secretion	3/93	4.785522e-03	3.230227e-02	0	0	9.446190e+00	5.046306e+01	ATP1A2;ATP1B1;CALM1
KEGG_2021_Human	Chagas disease	3/102	6.185875e-03	3.929850e-02	0	0	8.583550e+00	4.365153e+01	C1QB;C1QA;C1QC
KEGG_2021_Human	cAMP signaling pathway	4/216	8.056178e-03	4.580322e-02	0	0	5.391031e+00	2.599186e+01	ADCYAP1R1;ATP1A2;ATP1B1;CALM1
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	2/37	8.057974e-03	4.580322e-02	0	0	1.600966e+01	7.718405e+01	ATP1A2;ATP1B1
KEGG_2021_Human	Sphingolipid signaling pathway	3/119	9.440244e-03	5.097732e-02	0	0	7.319335e+00	3.412840e+01	ASAH1;S1PR3;CERS1
KEGG_2021_Human	Carbohydrate digestion and absorption	2/47	1.277596e-02	6.210662e-02	0	0	1.244570e+01	5.426560e+01	ATP1A2;ATP1B1
KEGG_2021_Human	Parkinson disease	4/249	1.305786e-02	6.210662e-02	0	0	4.657084e+00	2.020413e+01	UCHL1;MAOB;TUBB3;CALM1
KEGG_2021_Human	Systemic lupus erythematosus	3/135	1.326530e-02	6.210662e-02	0	0	6.426948e+00	2.778115e+01	C1QB;C1QA;C1QC
KEGG_2021_Human	Sphingolipid metabolism	2/49	1.383381e-02	6.210662e-02	0	0	1.191489e+01	5.100337e+01	ASAH1;CERS1
KEGG_2021_Human	Arginine and proline metabolism	2/50	1.437653e-02	6.210662e-02	0	0	1.166608e+01	4.948935e+01	MAOB;CKB
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	2/53	1.605905e-02	6.670684e-02	0	0	1.097818e+01	4.535617e+01	ATP1A2;ATP1B1
KEGG_2021_Human	Prion disease	4/273	1.772047e-02	7.088188e-02	0	0	4.236410e+00	1.708559e+01	C1QB;C1QA;TUBB3;C1QC
KEGG_2021_Human	Vitamin B6 metabolism	1/6	2.170366e-02	8.371413e-02	0	0	5.533889e+01	2.119631e+02	PSAT1
KEGG_2021_Human	cGMP-PKG signaling pathway	3/167	2.322669e-02	8.649940e-02	0	0	5.164547e+00	1.943137e+01	ATP1A2;ATP1B1;CALM1
KEGG_2021_Human	Amphetamine addiction	2/69	2.633833e-02	9.481799e-02	0	0	8.349800e+00	3.036597e+01	MAOB;CALM1
KEGG_2021_Human	Thyroid hormone synthesis	2/75	3.072293e-02	1.070347e-01	0	0	7.661200e+00	2.668201e+01	ATP1A2;ATP1B1
KEGG_2021_Human	Synthesis and degradation of ketone bodies	1/10	3.591403e-02	1.212099e-01	0	0	3.073765e+01	1.022527e+02	HMGCS1
KEGG_2021_Human	Cardiac muscle contraction	2/87	4.028065e-02	1.318276e-01	0	0	6.575642e+00	2.112020e+01	ATP1A2;ATP1B1
KEGG_2021_Human	Bile secretion	2/90	4.282476e-02	1.360316e-01	0	0	6.350512e+00	2.000817e+01	ATP1A2;ATP1B1
KEGG_2021_Human	Circadian entrainment	2/97	4.898657e-02	1.509446e-01	0	0	5.880504e+00	1.773683e+01	ADCYAP1R1;CALM1
KEGG_2021_Human	Coronavirus disease	3/232	5.302337e-02	1.509446e-01	0	0	3.686463e+00	1.082722e+01	C1QB;C1QA;C1QC
KEGG_2021_Human	Thiamine metabolism	1/15	5.339099e-02	1.509446e-01	0	0	1.975496e+01	5.788427e+01	AK1
KEGG_2021_Human	Pancreatic secretion	2/102	5.357275e-02	1.509446e-01	0	0	5.585070e+00	1.634591e+01	ATP1A2;ATP1B1
KEGG_2021_Human	Protein digestion and absorption	2/103	5.450776e-02	1.509446e-01	0	0	5.529494e+00	1.608758e+01	ATP1A2;ATP1B1
KEGG_2021_Human	Phenylalanine metabolism	1/17	6.029395e-02	1.627937e-01	0	0	1.728385e+01	4.854211e+01	MAOB
KEGG_2021_Human	Thyroid hormone signaling pathway	2/121	7.227864e-02	1.903925e-01	0	0	4.688839e+00	1.231864e+01	ATP1A2;ATP1B1
KEGG_2021_Human	Terpenoid backbone biosynthesis	1/22	7.733489e-02	1.936952e-01	0	0	1.316534e+01	3.369815e+01	HMGCS1
KEGG_2021_Human	Histidine metabolism	1/22	7.733489e-02	1.936952e-01	0	0	1.316534e+01	3.369815e+01	MAOB
KEGG_2021_Human	Lysosome	2/128	7.963262e-02	1.936952e-01	0	0	4.426783e+00	1.120123e+01	ASAH1;AP1S2
KEGG_2021_Human	Renin-angiotensin system	1/23	8.070632e-02	1.936952e-01	0	0	1.256629e+01	3.162857e+01	AGT
KEGG_2021_Human	Dopaminergic synapse	2/132	8.393601e-02	1.953717e-01	0	0	4.289707e+00	1.062861e+01	MAOB;CALM1
