Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Coronavirus disease	20/232	2.602272e-18	4.371817e-16	0	0	1.995841e+01	8.081189e+02	CXCL8;RPL10;RPLP0;RPS27L;RPL8;RPL10A;NFKBIA;RPS15A;RPL18A;RPS29;RPS18;RPL27A;CCL2;RPL27;RPS2;RPL37;RPL29;RPL18;RPS10;RPS23
KEGG_2021_Human	Ribosome	17/158	2.493056e-17	2.094167e-15	0	0	2.479920e+01	9.480843e+02	RPL10;RPLP0;RPS27L;RPL8;RPL10A;RPS15A;RPL18A;RPS29;RPS18;RPL27A;RPL27;RPS2;RPL37;RPL29;RPL18;RPS10;RPS23
KEGG_2021_Human	Salmonella infection	9/249	1.204752e-05	6.496530e-04	0	0	7.084255e+00	8.024089e+01	NFKBIA;CXCL8;ARPC2;ANXA2;FLNA;CD14;PFN1;HSP90B1;S100A10
KEGG_2021_Human	IL-17 signaling pathway	6/94	1.546793e-05	6.496530e-04	0	0	1.261619e+01	1.397462e+02	NFKBIA;CEBPB;CXCL8;CCL2;CXCL5;HSP90B1
KEGG_2021_Human	Lipid and atherosclerosis	8/215	3.046052e-05	1.023473e-03	0	0	7.243616e+00	7.532694e+01	NFKBIA;CXCL8;HSPA5;CCL2;CD14;SOD2;HSPA1A;HSP90B1
KEGG_2021_Human	Legionellosis	4/57	3.029690e-04	8.483133e-03	0	0	1.373308e+01	1.112638e+02	NFKBIA;CXCL8;CD14;HSPA1A
KEGG_2021_Human	HIF-1 signaling pathway	5/109	3.856918e-04	8.921863e-03	0	0	8.806535e+00	6.922352e+01	LDHA;PGK1;SLC2A1;TIMP1;VEGFA
KEGG_2021_Human	Protein processing in endoplasmic reticulum	6/171	4.248506e-04	8.921863e-03	0	0	6.702464e+00	5.203641e+01	DNAJB1;HSPA5;SSR3;P4HB;HSPA1A;HSP90B1
KEGG_2021_Human	Focal adhesion	6/201	9.908419e-04	1.662402e-02	0	0	5.662689e+00	3.916857e+01	COL6A1;TNC;SPP1;FN1;FLNA;VEGFA
KEGG_2021_Human	Antigen processing and presentation	4/78	9.989754e-04	1.662402e-02	0	0	9.825440e+00	6.788181e+01	HSPA5;CTSB;HLA-E;HSPA1A
KEGG_2021_Human	Yersinia infection	5/137	1.088477e-03	1.662402e-02	0	0	6.928662e+00	4.727409e+01	NFKBIA;CXCL8;ARPC2;FN1;CCL2
KEGG_2021_Human	ECM-receptor interaction	4/88	1.564074e-03	2.189703e-02	0	0	8.651376e+00	5.589188e+01	COL6A1;TNC;SPP1;FN1
KEGG_2021_Human	Rheumatoid arthritis	4/93	1.916574e-03	2.476803e-02	0	0	8.163282e+00	5.107942e+01	CXCL8;CCL2;CXCL5;VEGFA
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	4/100	2.497483e-03	2.844738e-02	0	0	7.565367e+00	4.533525e+01	CXCL8;FN1;CCL2;VEGFA
KEGG_2021_Human	Cholesterol metabolism	3/50	2.837432e-03	2.844738e-02	0	0	1.151257e+01	6.751958e+01	APOC2;APOC1;ANGPTL4
KEGG_2021_Human	Toll-like receptor signaling pathway	4/104	2.878604e-03	2.844738e-02	0	0	7.261284e+00	4.248178e+01	NFKBIA;CXCL8;SPP1;CD14
KEGG_2021_Human	NF-kappa B signaling pathway	4/104	2.878604e-03	2.844738e-02	0	0	7.261284e+00	4.248178e+01	NFKBIA;CXCL8;GADD45B;CD14
KEGG_2021_Human	NOD-like receptor signaling pathway	5/181	3.669116e-03	3.321704e-02	0	0	5.184922e+00	2.907603e+01	NFKBIA;CXCL8;NAMPT;CCL2;CTSB
KEGG_2021_Human	TNF signaling pathway	4/112	3.756689e-03	3.321704e-02	0	0	6.720693e+00	3.752981e+01	NFKBIA;CEBPB;CCL2;CXCL5
KEGG_2021_Human	PI3K-Akt signaling pathway	7/354	3.991351e-03	3.352735e-02	0	0	3.718667e+00	2.054052e+01	COL6A1;DDIT4;TNC;SPP1;FN1;HSP90B1;VEGFA
KEGG_2021_Human	Lysosome	4/128	6.024342e-03	4.819474e-02	0	0	5.848772e+00	2.989861e+01	LAPTM5;CD68;CTSD;CTSB
KEGG_2021_Human	Autophagy	4/137	7.630797e-03	5.827154e-02	0	0	5.450507e+00	2.657429e+01	VMP1;DDIT4;CTSD;CTSB
KEGG_2021_Human	Fluid shear stress and atherosclerosis	4/139	8.022468e-03	5.859889e-02	0	0	5.369215e+00	2.590920e+01	GSTO1;CCL2;HSP90B1;VEGFA
KEGG_2021_Human	Apoptosis	4/142	8.634386e-03	5.915135e-02	0	0	5.251695e+00	2.495607e+01	NFKBIA;GADD45B;CTSD;CTSB
